Trigger,Applies To,Learning Type,Sent To,Timestamp,Priority Level,Typical Response Time,Contextual Summary,Tone,Response Likelihood,Escalation Level,Feedback,Compliance Check,Actionable Links,Comments,Send Now,Employee Number,Previous Records Present,Most Active Day
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-01-14 09:51:02,Low,5,Summary of the pending request.,Urgent,0.4520054199087522,None,Negative,Pass,http://example.com/action,Important to address this as soon as possible.,0,6142,Yes,Thursday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-11-02 09:51:02,Low,1,Summary of the pending request.,Neutral,0.6156522140511563,Level 1,Positive,Fail,http://example.com/action,"Okay, I will check this out.",1,1600,No,Monday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-09-05 09:51:02,Low,5,Summary of the pending request.,Urgent,0.1286633906892151,None,Neutral,Fail,http://example.com/action,Important to address this as soon as possible.,0,3708,Yes,Tuesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-31 09:51:02,Medium,6,Summary of the pending request.,Friendly,0.5569497437746462,Level 2,Neutral,Pass,http://example.com/action,"Great reminder, very helpful!",0,1364,No,Tuesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-08-30 09:51:02,Medium,6,Summary of the pending request.,Neutral,0.7638567641619896,Level 1,Positive,Fail,http://example.com/action,"Received the reminder, action pending.",0,7514,Yes,Thursday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-03-19 09:51:02,Medium,4,Summary of the pending request.,Urgent,0.2441974321839684,Level 1,Negative,Pass,http://example.com/action,Important to address this as soon as possible.,0,9162,Yes,Thursday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-08-18 09:51:02,Low,2,Summary of the pending request.,Neutral,0.919541620668976,Level 2,Negative,Pass,http://example.com/action,"Reminder received, will look into it.",1,5324,Yes,Friday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-11-13 09:51:02,Medium,1,Summary of the pending request.,Urgent,0.3789731189769161,Level 1,Neutral,Fail,http://example.com/action,"Urgency appreciated, let's act quickly on this.",1,6750,Yes,Wednesday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-03-17 09:51:02,High,3,Summary of the pending request.,Neutral,0.1581577543446697,None,Negative,Fail,http://example.com/action,"Noted, will review the details soon.",1,1918,Yes,Tuesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-11-06 09:51:02,Low,4,Summary of the pending request.,Friendly,0.9197697517413846,None,Neutral,Pass,http://example.com/action,"Great reminder, very helpful!",0,1922,Yes,Saturday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-07-03 09:51:02,High,4,Summary of the pending request.,Urgent,0.0418288581688578,Level 1,Positive,Fail,http://example.com/action,Please prioritize this as it's extremely urgent.,0,9258,No,Thursday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-10-30 09:51:02,Medium,7,Summary of the pending request.,Neutral,0.8233393995083906,None,Positive,Fail,http://example.com/action,"Reminder received, will look into it.",0,8196,Yes,Tuesday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-08-28 09:51:02,Low,3,Summary of the pending request.,Friendly,0.9440896147957406,Level 2,Neutral,Pass,http://example.com/action,"Great reminder, very helpful!",1,3048,Yes,Sunday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-22 09:51:02,High,1,Summary of the pending request.,Neutral,0.5054444630237716,None,Positive,Fail,http://example.com/action,"Received the reminder, action pending.",1,5021,Yes,Sunday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-07-18 09:51:02,Medium,4,Summary of the pending request.,Neutral,0.5650021824479691,Level 2,Positive,Fail,http://example.com/action,"Noted, will review the details soon.",0,4335,No,Monday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-11-03 09:51:02,Medium,3,Summary of the pending request.,Friendly,0.009397431454871,Level 1,Neutral,Pass,http://example.com/action,"Always good to get these reminders, thank you!",1,6415,Yes,Tuesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-06 09:51:02,Medium,2,Summary of the pending request.,Neutral,0.3268458048813085,Level 1,Neutral,Fail,http://example.com/action,"Okay, I will check this out.",1,1005,Yes,Thursday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-02 09:51:02,Low,4,Summary of the pending request.,Neutral,0.6505386918742654,Level 1,Neutral,Fail,http://example.com/action,"Okay, I will check this out.",0,4600,No,Friday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-08-01 09:51:02,Medium,5,Summary of the pending request.,Neutral,0.8459337061558656,Level 1,Positive,Fail,http://example.com/action,"Reminder received, will look into it.",0,2792,Yes,Sunday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2024-01-05 09:51:02,High,4,Summary of the pending request.,Neutral,0.4842511301073592,None,Neutral,Pass,http://example.com/action,"Received the reminder, action pending.",0,4030,No,Saturday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-11-04 09:51:02,Medium,1,Summary of the pending request.,Urgent,0.3046579957512569,Level 1,Neutral,Fail,http://example.com/action,"Urgency appreciated, let's act quickly on this.",1,8218,No,Monday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-01-03 09:51:02,Medium,5,Summary of the pending request.,Friendly,0.4937952193450843,None,Negative,Pass,http://example.com/action,Appreciate the clarity in this reminder.,0,7038,Yes,Tuesday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-10 09:51:02,Low,1,Summary of the pending request.,Neutral,0.2544572190676124,None,Negative,Pass,http://example.com/action,"Acknowledged, will take the necessary steps.",1,4432,No,Thursday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2024-03-25 09:51:02,High,5,Summary of the pending request.,Urgent,0.7522544698468651,Level 2,Neutral,Pass,http://example.com/action,"Immediate action required, cannot delay!",0,7305,Yes,Friday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-08-26 09:51:02,Medium,1,Summary of the pending request.,Urgent,0.2289244157218269,Level 2,Negative,Pass,http://example.com/action,Please prioritize this as it's extremely urgent.,1,3219,Yes,Tuesday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-03-02 09:51:02,Low,1,Summary of the pending request.,Urgent,0.1881632939327553,Level 2,Negative,Pass,http://example.com/action,"Immediate action required, cannot delay!",1,5524,Yes,Saturday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-06-27 09:51:02,Medium,4,Summary of the pending request.,Neutral,0.3210582559565715,None,Positive,Fail,http://example.com/action,"Okay, I will check this out.",0,3060,Yes,Sunday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-10-20 09:51:02,Low,3,Summary of the pending request.,Neutral,0.2615616273853526,Level 2,Neutral,Fail,http://example.com/action,"Noted, will review the details soon.",1,8186,No,Sunday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-09-30 09:51:02,Medium,3,Summary of the pending request.,Urgent,0.7118091040072126,Level 2,Negative,Pass,http://example.com/action,"Urgency appreciated, let's act quickly on this.",1,7024,No,Tuesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-10-01 09:51:02,High,4,Summary of the pending request.,Neutral,0.6313851200254293,Level 1,Negative,Pass,http://example.com/action,"Reminder received, will look into it.",0,3336,Yes,Friday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2024-01-12 09:51:02,Medium,7,Summary of the pending request.,Urgent,0.8585932513377816,None,Positive,Fail,http://example.com/action,"This is an urgent matter, please address it immediately.",0,5206,No,Friday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-11-09 09:51:02,Medium,5,Summary of the pending request.,Friendly,0.6725206037654493,Level 1,Negative,Pass,http://example.com/action,Appreciate the clarity in this reminder.,0,5662,Yes,Monday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-06-28 09:51:02,Medium,4,Summary of the pending request.,Friendly,0.4397366337078622,Level 1,Neutral,Pass,http://example.com/action,"Helpful reminder, keeps everything on track!",0,1984,No,Wednesday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-10-22 09:51:02,Low,2,Summary of the pending request.,Neutral,0.9151264595935564,Level 2,Neutral,Fail,http://example.com/action,"Acknowledged, will take the necessary steps.",1,8311,Yes,Saturday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-08-27 09:51:02,Medium,2,Summary of the pending request.,Friendly,0.2172692101775534,None,Positive,Fail,http://example.com/action,"Helpful reminder, keeps everything on track!",1,2759,Yes,Sunday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-01-04 09:51:02,High,4,Summary of the pending request.,Friendly,0.4843413855517203,Level 1,Negative,Fail,http://example.com/action,"Great reminder, very helpful!",0,8984,No,Wednesday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-10 09:51:02,High,7,Summary of the pending request.,Urgent,0.1473539622457726,None,Positive,Fail,http://example.com/action,"This is an urgent matter, please address it immediately.",0,2460,No,Tuesday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-03-07 09:51:02,Medium,1,Summary of the pending request.,Urgent,0.0936952398615924,None,Negative,Pass,http://example.com/action,"Urgency appreciated, let's act quickly on this.",1,6811,No,Wednesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-09-13 09:51:02,Medium,2,Summary of the pending request.,Friendly,0.7949755143536341,None,Positive,Fail,http://example.com/action,"Helpful reminder, keeps everything on track!",1,7645,Yes,Thursday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-11-14 09:51:02,Medium,6,Summary of the pending request.,Neutral,0.3261829048573998,Level 2,Neutral,Pass,http://example.com/action,"Reminder received, will look into it.",0,6401,Yes,Friday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-09-16 09:51:02,Medium,3,Summary of the pending request.,Neutral,0.2305380412985077,Level 2,Positive,Fail,http://example.com/action,"Acknowledged, will take the necessary steps.",1,1224,No,Friday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-11-08 09:51:02,Low,5,Summary of the pending request.,Neutral,0.1283346107450138,Level 2,Negative,Pass,http://example.com/action,"Okay, I will check this out.",0,4368,No,Tuesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-07-18 09:51:02,Medium,1,Summary of the pending request.,Urgent,0.3695270887388839,None,Neutral,Fail,http://example.com/action,Important to address this as soon as possible.,1,1125,No,Saturday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-18 09:51:02,Medium,2,Summary of the pending request.,Friendly,0.4735188204122199,None,Neutral,Pass,http://example.com/action,"Helpful reminder, keeps everything on track!",1,9914,No,Wednesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-06-01 09:51:02,High,6,Summary of the pending request.,Friendly,0.0520856082432554,Level 1,Positive,Pass,http://example.com/action,Appreciate the clarity in this reminder.,0,8489,Yes,Friday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-01-11 09:51:02,High,6,Summary of the pending request.,Urgent,0.908411445212606,None,Positive,Pass,http://example.com/action,"This is an urgent matter, please address it immediately.",0,1009,Yes,Monday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-02-13 09:51:02,Medium,3,Summary of the pending request.,Urgent,0.964574623094794,Level 1,Neutral,Fail,http://example.com/action,"This is an urgent matter, please address it immediately.",1,4675,Yes,Wednesday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2024-05-25 09:51:02,High,5,Summary of the pending request.,Urgent,0.4464410662486023,Level 2,Negative,Pass,http://example.com/action,"Urgency appreciated, let's act quickly on this.",0,5422,Yes,Tuesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-02-17 09:51:02,Low,4,Summary of the pending request.,Friendly,0.1696913961980547,None,Neutral,Fail,http://example.com/action,"Helpful reminder, keeps everything on track!",0,4812,No,Wednesday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-02-22 09:51:02,High,3,Summary of the pending request.,Neutral,0.1802629228768446,None,Neutral,Fail,http://example.com/action,"Received the reminder, action pending.",1,7359,Yes,Saturday
